EmployeeID,Name,DeptID,HireDate,Status,Salary,PerformanceScore,JobSatisfaction,TerminationDate
1001,Employee_0,5,2021-01-31,Terminated,127266,4,2,2021-12-15
1002,Employee_1,2,2021-12-30,Terminated,61427,5,2,2023-05-21
1003,Employee_2,4,2020-05-10,Active,140732,2,4,
1004,Employee_3,1,2021-07-18,Active,67083,5,1,
1005,Employee_4,1,2021-02-04,Active,127046,4,2,
1006,Employee_5,3,2020-12-31,Active,97372,4,2,
1007,Employee_6,5,2022-09-21,Active,84064,3,1,
1008,Employee_7,1,2020-11-10,Active,47813,2,2,
1009,Employee_8,5,2022-06-27,Active,71598,4,1,
1010,Employee_9,1,2018-05-02,Terminated,133106,3,1,2019-01-17
1011,Employee_10,2,2019-04-12,Active,67082,3,4,
1012,Employee_11,4,2021-05-23,Active,69241,5,3,
1013,Employee_12,1,2018-11-27,Active,136214,5,4,
1014,Employee_13,5,2022-01-22,Active,84569,3,3,
1015,Employee_14,2,2018-03-29,Active,51745,5,3,
1016,Employee_15,1,2021-10-28,Active,66029,4,3,
1017,Employee_16,3,2021-01-28,Active,53025,1,2,
1018,Employee_17,4,2020-05-21,Active,141660,4,4,
1019,Employee_18,1,2022-08-15,Active,54288,3,3,
1020,Employee_19,2,2018-05-11,Active,129186,3,1,
1021,Employee_20,3,2022-08-13,Active,46540,4,2,
1022,Employee_21,2,2021-08-25,Active,137768,5,4,
1023,Employee_22,2,2020-02-09,Active,121958,5,3,
1024,Employee_23,3,2018-12-10,Active,108878,3,1,
1025,Employee_24,2,2022-02-24,Terminated,81846,2,4,2024-10-03
1026,Employee_25,3,2021-12-08,Active,141148,5,4,
1027,Employee_26,1,2020-03-16,Active,115932,4,2,
1028,Employee_27,3,2019-01-21,Active,57482,5,4,
1029,Employee_28,3,2021-04-30,Active,63411,4,2,
1030,Employee_29,4,2020-08-13,Active,90975,3,3,
1031,Employee_30,3,2018-10-04,Active,100545,5,2,
1032,Employee_31,3,2021-03-30,Terminated,118797,4,1,2022-06-22
1033,Employee_32,1,2019-04-05,Terminated,92307,3,2,2019-10-08
1034,Employee_33,4,2021-08-30,Terminated,43093,2,1,2023-04-01
1035,Employee_34,5,2018-01-22,Active,117258,4,2,
1036,Employee_35,1,2018-09-10,Active,62042,2,4,
1037,Employee_36,1,2020-01-18,Active,92930,2,3,
1038,Employee_37,5,2020-05-06,Active,84413,1,1,
1039,Employee_38,3,2022-05-04,Active,133623,5,2,
1040,Employee_39,2,2019-04-20,Terminated,137883,4,2,2020-08-02
1041,Employee_40,4,2020-12-18,Active,73756,2,2,
1042,Employee_41,2,2019-05-26,Terminated,93268,1,4,2019-09-29
1043,Employee_42,5,2022-09-02,Active,79214,3,4,
1044,Employee_43,1,2022-02-08,Terminated,121871,4,1,2023-04-24
1045,Employee_44,1,2019-12-01,Active,68602,2,1,
1046,Employee_45,4,2020-09-02,Active,93331,5,4,
1047,Employee_46,1,2022-12-12,Active,88901,1,1,
1048,Employee_47,1,2018-07-09,Active,139986,2,3,
1049,Employee_48,4,2020-08-15,Active,103416,5,3,
1050,Employee_49,4,2019-11-18,Terminated,72196,2,4,2022-07-25
1051,Employee_50,5,2020-08-15,Active,45626,4,1,
1052,Employee_51,1,2019-07-17,Active,47424,4,2,
1053,Employee_52,1,2023-03-15,Active,52857,4,3,
1054,Employee_53,5,2022-05-10,Active,59982,1,4,
1055,Employee_54,3,2021-06-21,Active,116961,4,1,
1056,Employee_55,3,2020-04-11,Active,41980,5,4,
1057,Employee_56,3,2022-03-09,Active,88290,2,2,
1058,Employee_57,5,2021-02-28,Active,66431,3,3,
1059,Employee_58,1,2022-02-17,Active,124976,5,4,
1060,Employee_59,5,2023-01-17,Active,147288,5,4,
1061,Employee_60,5,2019-10-09,Active,122711,4,4,
1062,Employee_61,3,2018-01-21,Terminated,66385,1,2,2018-12-05
1063,Employee_62,2,2020-04-20,Active,78158,2,4,
1064,Employee_63,1,2018-06-16,Active,63019,1,2,
1065,Employee_64,3,2021-07-21,Active,58639,2,2,
1066,Employee_65,2,2019-01-23,Active,125530,2,2,
1067,Employee_66,2,2019-08-24,Terminated,139911,1,3,2020-06-02
1068,Employee_67,4,2018-11-12,Active,61563,5,3,
1069,Employee_68,1,2018-01-14,Active,79341,2,4,
1070,Employee_69,2,2018-08-30,Active,45776,1,4,
1071,Employee_70,3,2020-02-16,Active,76444,2,3,
1072,Employee_71,4,2021-10-01,Active,108916,3,1,
1073,Employee_72,1,2019-07-19,Active,48711,5,3,
1074,Employee_73,5,2020-06-16,Active,114318,4,2,
1075,Employee_74,3,2021-09-25,Active,122970,2,3,
1076,Employee_75,2,2018-04-02,Active,125553,3,2,
1077,Employee_76,2,2021-10-22,Active,70707,4,4,
1078,Employee_77,3,2020-08-13,Active,79110,4,1,
1079,Employee_78,2,2022-01-18,Active,101788,2,4,
1080,Employee_79,4,2021-12-22,Active,122879,1,2,
1081,Employee_80,1,2019-05-24,Terminated,78827,2,2,2020-01-04
1082,Employee_81,4,2020-02-15,Active,147188,3,2,
1083,Employee_82,2,2023-05-21,Active,45655,4,1,
1084,Employee_83,5,2018-02-04,Active,84859,2,3,
1085,Employee_84,1,2018-07-25,Terminated,93625,1,4,2020-04-12
1086,Employee_85,1,2021-01-09,Active,92098,2,4,
1087,Employee_86,3,2023-05-10,Active,55251,5,3,
1088,Employee_87,3,2022-05-05,Active,40526,1,4,
1089,Employee_88,5,2023-03-11,Active,108760,3,1,
1090,Employee_89,1,2021-11-12,Terminated,87837,4,4,2024-03-24
1091,Employee_90,5,2020-10-22,Terminated,51536,2,2,2022-04-26
1092,Employee_91,3,2020-10-18,Active,68541,1,3,
1093,Employee_92,3,2021-11-14,Active,119083,5,1,
1094,Employee_93,1,2019-07-20,Terminated,91027,1,3,2021-01-16
1095,Employee_94,4,2021-02-03,Active,74531,5,1,
1096,Employee_95,2,2022-12-01,Active,48712,3,2,
1097,Employee_96,3,2023-01-20,Active,144101,4,3,
1098,Employee_97,3,2022-02-09,Active,105455,3,4,
1099,Employee_98,4,2019-12-04,Terminated,114744,2,1,2021-09-28
1100,Employee_99,4,2019-02-06,Terminated,45109,1,3,2021-06-26
1101,Employee_100,5,2019-12-31,Terminated,89268,5,4,2022-06-12
